Neighborhood,Population
COPACABANA,161031
LEBLON,50648
IPANEMA,47017
FLAMENGO,55047
MEIER,54811
PAQUETA,3697
LAGOA,23318
GLORIA,10627
HUMAITA,14614
LEME,16279
TIJUCA,180186
LARANJEIRAS,50109
GAVEA,17603
MARACANA,27782
ZUMBI,2218
ABOLICAO,12492
RIBEIRA,3881
VILA DA PENHA,28012
SAO CONRADO,12078
VISTA ALEGRE,9484
JARDIM BOTANICO,19810
JOA,900
PRACA DA BANDEIRA,9528
RIACHUELO,13918
MONERO,7124
GRAJAU,42538
ANDARAI,43302
COCOTA,5365
CATETE,26463
TODOS OS SANTOS,27111
CENTRO,45256
JARDIM GUANABARA,35434
BOTAFOGO,91179
BONSUCESSO,20582
BARRA DA TIJUCA,149516
MARIA DA GRACA,8769
CACHAMBI,46657
IRAJA,106020
VILA ISABEL,94620
ROCHA,9643
ENGENHO DE DENTRO,50094
OLARIA,63265
BENTO RIBEIRO,48078
OSWALDO CRUZ,37444
PORTUGUESA,26242
VILA VALQUEIRE,35507
VILA KOSMOS,20101
ENCANTADO,16523
HIGIENOPOLIS,17307
PILARES,29975
ALTO DA BOA VISTA,10277
PIEDADE,47716
COSME VELHO,7896
QUINTINO BOCAIUVA,34304
DEL CASTILHO,17171
MADUREIRA,55117
URCA,7767
CASCADURA,37902
PECHINCHA,38180
PENHA CIRCULAR,52598
ANIL,26589
GUADALUPE,51858
RAMOS,44871
CAMPINHO,11172
MARECHAL HERMES,52867
LINS DE VASCONCELOS,41236
ROCHA MIRANDA,48607
PEDRA DE GUARATIBA,10437
ENGENHO NOVO,46389
PRACA SECA,70562
COELHO NETO,35665
ENGENHO DA RAINHA,29325
FREGUESIA-JPA,77562
PRAIA DA BANDEIRA,6543
CIDADE NOVA,6013
BRAS DE PINA,65144
PADRE MIGUEL,70651
TAQUARA,112339
CAVALCANTE,17755
INHAUMA,50268
CACUIA,12114
SAO CRISTOVAO,29161
BARRA DE GUARATIBA,3935
JARDIM SULACAP,14368
PARQUE ANCHIETA,28833
HONORIO GURGEL,24188
RIO COMPRIDO,48140
JARDIM CARIOCA,27333
CATUMBI,13812
JARDIM AMERICA,27749
SAO FRANCISCO XAVIER,9177
MAGALHAES BASTOS,26873
CORDOVIL,49722
PITANGUEIRAS,12932
VICENTE DE CARVALHO,27460
VAZ LOBO,16684
TANQUE,41642
REALENGO,198135
BANCARIOS,13763
TURIACU,18971
ESTACIO,18908
RICARDO ALBUQUERQUE,32241
TOMAS COELHO,24944
VASCO DA GAMA,17030
DEODORO,11926
CAMPO GRANDE,361207
JACARE,10204
BANGU,267438
TAUA,32524
FREGUESIA-ILHA,21381
SEPETIBA,62233
SAUDE,3024
ENGENHEIRO LEAL,6724
SANTO CRISTO,13563
ANCHIETA,61217
PAVUNA,107085
COLEGIO,32170
RECREIO DOS BANDEIRANTES,90464
SAMPAIO,11985
SANTA TERESA,45019
PENHA,86546
SENADOR CAMARA,116067
CURICICA,34308
AGUA SANTA,9632
BARROS FILHO,15454
SENADOR VASCONCELOS,33660
VILA MILITAR,14502
BENFICA,27589
SANTISSIMO,45604
PARQUE COLUMBIA,10122
VIGARIO GERAL,46002
PACIENCIA,104089
GAMBOA,14419
SANTA CRUZ,239066
PARADA DE LUCAS,26315
CIDADE DE DEUS,40167
COSMOS,84708
MANGUEIRA,19619
INHOAIBA,71114
CAJU,22525
VARGEM GRANDE,15443
VIDIGAL,14077
COSTA BARROS,31286
JACAREZINHO,41623
GUARATIBA,121054
COMPLEXO DO ALEMAO,76057
GARDENIA AZUL,19487
ACARI,30082
GALEAO,25268
CIDADE UNIVERSITARIA,1712
CAMORIM,2167
MARE,142747
JACAREPAGUA,173059
MANGUINHOS,39776
VARGEM PEQUENA,29975
ROCINHA,76292
ITANHANGA,42257
GRUMARI,184
CAMPO DOS AFONSOS,1502
GERICINO,16684
